ID,domain,#sentences,#words,#entities,#entity types before removal,#entity types after removal
1,physics,68,1916,144,6,5
2,fashion,1043,27598,2182,68,20
3,finance,1723,42834,4121,75,24
4,exhibitions,1829,40162,2950,131,34
5,meteorology,2838,69551,7659,92,32
6,interests,3462,87318,6132,150,44
7,measurement_unit,3864,103222,9675,103,50
8,internet,3915,100110,9140,171,50
9,engineering,4475,118061,11548,242,50
10,chemistry,4883,109289,10007,100,43
11,astronomy,8298,201407,25072,214,50
12,automotive,10349,270043,25364,90,39
13,soccer,11398,280920,36620,216,50
14,opera,11559,290749,35459,227,50
15,law,11813,320329,38737,310,51
16,visual_art,12059,306650,32693,292,51
17,basketball,12604,308931,51532,316,50
18,computer,12955,321726,34494,297,50
19,theater,15340,372118,51848,408,50
20,symbols,21171,531455,61097,728,50
21,comic_books,21262,541396,53764,317,50
22,language,21306,551685,62830,214,50
23,religion,27977,721771,77446,401,50
24,time,28903,758863,84560,573,50
25,royalty,30587,788890,110169,427,50
26,games,31420,806552,109941,433,50
27,aviation,36924,939383,125823,344,50
28,medicine,37729,940578,82854,402,51
29,fictional_universe,39781,1010777,89567,567,50
30,food,41160,1034233,100445,415,50
31,media_common,49714,1269641,142084,959,50
32,biology,53042,1248434,131518,246,50
33,travel,59965,1467691,152712,750,50
34,business,68244,1688935,182306,1009,50
35,architecture,76322,1947451,237468,633,50
36,geography,94712,2355917,296847,359,51
37,military,95809,2548948,303750,864,50
38,transportation,111864,2867706,403018,482,50
39,award,117280,2733563,595158,1323,51
40,book,135865,3351012,437189,1032,50
41,organization,146583,3679927,502582,1215,50
42,tv,154152,3720607,574619,935,51
43,sports,171645,4300796,622688,961,51
44,education,212423,5113452,783132,792,51
45,government,331720,8380706,1170947,1182,51
46,film,430693,9557747,1720973,1134,51
47,music,441220,10116628,1684479,918,50
48,people,442683,11452451,1762255,1825,50
49,location,443646,12525545,1472198,1603,50
